description,amount,category,date
Pizza Hut order 668,62.66,Food & Dining,2025-01-21
Domino's order 160,46.13,Food & Dining,2025-06-24
Water Board Likely,217.32,Utilities,2025-04-14
Clinic Care,154.0,Healthcare,2025-09-30
Planet Fitness Evidence,130.95,Fitness,2025-08-06
Delta Airlines ride from West Eric,557.39,Travel,2025-05-12
Charity Donation Size,355.79,Others,2024-12-07
Charity Donation Speech,486.55,Others,2025-09-09
Investment Platform Weight,355.14,Finance,2025-07-06
Investment Platform General,118.73,Finance,2025-06-12
Disney+ Actually,19.75,Entertainment,2025-09-09
Loan EMI Very,372.37,Finance,2025-03-05
Gas Co Ask,190.28,Utilities,2025-06-04
Charity Donation Since,242.9,Others,2025-06-04
Investment Platform Source,71.49,Finance,2025-06-04
Gas Co Thus,193.9,Utilities,2025-03-13
Subway order 634,78.96,Food & Dining,2025-07-12
Flipkart Consider,214.8,Shopping,2025-05-31
Hulu Ask,41.17,Entertainment,2025-05-20
Subway order 806,25.88,Food & Dining,2025-11-07
Hospital Language,142.39,Healthcare,2025-03-29
Netflix Culture,36.2,Entertainment,2025-01-29
Walgreens Result,36.81,Healthcare,2025-09-17
Gym Membership Serve,112.77,Fitness,2025-11-06
Fitbit Subscription Since,35.35,Fitness,2024-12-21
Netflix Realize,30.61,Entertainment,2025-03-21
Loan EMI Write,329.94,Finance,2024-12-18
Credit Card Payment Everyone,1615.24,Finance,2025-02-16
Clinic Hold,127.06,Healthcare,2025-05-22
Etsy Focus,204.81,Shopping,2025-02-22
Hospital Know,74.26,Healthcare,2025-04-05
Credit Card Payment After,106.28,Finance,2025-01-06
Pizza Hut order 348,76.9,Food & Dining,2024-12-03
Walgreens Soon,84.79,Healthcare,2025-03-25
Electric Company Class,84.71,Utilities,2025-08-08
Gas Co Beyond,109.61,Utilities,2025-11-15
Best Buy Morning,312.01,Shopping,2025-09-24
Subway order 553,21.51,Food & Dining,2025-10-26
Starbucks order 186,30.2,Food & Dining,2025-08-04
Rite Aid Community,162.68,Healthcare,2025-01-16
Trainline ride from Bobbyburgh,383.4,Travel,2025-02-24
Domino's order 343,46.01,Food & Dining,2025-08-10
Hospital Bed,39.85,Healthcare,2025-06-21
Loan EMI Bit,1268.34,Finance,2024-12-23
Trainline ride from Dwaynemouth,335.89,Travel,2025-03-10
McDonald's order 656,90.96,Food & Dining,2025-11-06
CVS Pharmacy Success,164.65,Healthcare,2025-05-20
Miscellaneous Become,267.48,Others,2025-11-01
Gas Co Image,137.36,Utilities,2025-05-01
Pizza Hut order 907,76.61,Food & Dining,2025-03-13
Gym Membership Thousand,74.57,Fitness,2025-09-11
Phone Bill Two,86.25,Utilities,2024-11-27
Water Board Left,133.23,Utilities,2025-09-12
Charity Donation Thousand,469.89,Others,2025-05-20
Gift Shop North,455.97,Others,2025-03-09
CVS Pharmacy Young,79.59,Healthcare,2025-06-30
Miscellaneous Time,237.73,Others,2025-02-02
Charity Donation Seat,57.74,Others,2025-08-02
Yoga Studio Who,129.63,Fitness,2025-05-18
Target Across,239.0,Shopping,2025-04-14
Starbucks order 305,91.6,Food & Dining,2025-07-11
Investment Platform Social,788.91,Finance,2025-06-09
Yoga Studio Hit,16.0,Fitness,2025-08-16
Gift Shop Position,345.81,Others,2024-12-03
Etsy Must,249.79,Shopping,2025-01-21
Planet Fitness Professional,85.84,Fitness,2025-09-27
Clinic Popular,159.02,Healthcare,2025-10-30
Rite Aid Nice,145.42,Healthcare,2025-02-20
Walgreens Carry,49.42,Healthcare,2025-04-11
Lyft ride from East Alexis,800.52,Travel,2025-07-05
Loan EMI Wear,375.48,Finance,2025-02-22
KFC order 734,73.17,Food & Dining,2025-08-14
Gym Membership Budget,110.39,Fitness,2025-06-06
Electric Company Team,198.33,Utilities,2025-05-13
KFC order 482,4.78,Food & Dining,2025-06-29
Subway order 232,52.88,Food & Dining,2025-11-08
Taxi Service ride from Carolberg,954.77,Travel,2025-01-29
Clinic Try,144.31,Healthcare,2025-07-01
Gift Shop Agreement,92.32,Others,2025-09-05
Trainline ride from North Susanmouth,57.97,Travel,2025-06-18
Best Buy Partner,225.01,Shopping,2025-06-05
Bank Transfer Continue,1067.13,Finance,2025-08-08
Uber ride from Wellschester,143.53,Travel,2025-08-20
Delta Airlines ride from North Garyhaven,603.76,Travel,2025-10-14
Starbucks order 246,3.88,Food & Dining,2025-05-31
Cinema Most,13.49,Entertainment,2025-04-05
Hospital Young,50.64,Healthcare,2025-08-30
Bank Transfer Boy,801.29,Finance,2025-07-28
Yoga Studio Including,104.65,Fitness,2025-05-02
Delta Airlines ride from Davidmouth,49.95,Travel,2024-12-20
Walmart Article,491.87,Shopping,2025-06-10
Etsy Card,380.8,Shopping,2025-09-30
Starbucks order 365,23.61,Food & Dining,2025-09-01
Charity Donation Century,208.73,Others,2025-06-09
Gym Membership Ago,38.44,Fitness,2024-12-28
Water Board Sea,33.02,Utilities,2025-03-21
Bank Transfer Themselves,1260.75,Finance,2025-04-30
Phone Bill Down,111.38,Utilities,2025-10-22
Fitbit Subscription Leave,43.19,Fitness,2025-01-14
Netflix Ready,5.25,Entertainment,2025-06-13
KFC order 508,29.61,Food & Dining,2025-05-20
Investment Platform Current,1184.04,Finance,2025-10-13
Airbnb ride from New Matthewview,882.3,Travel,2025-09-19
Amazon Official,76.82,Shopping,2025-07-11
Airbnb ride from New Olivia,406.15,Travel,2025-04-04
Lyft ride from Chadstad,200.96,Travel,2025-01-25
Netflix Assume,20.91,Entertainment,2025-11-03
Spotify Claim,26.28,Entertainment,2025-10-24
Hulu Across,31.78,Entertainment,2025-05-25
Loan EMI Grow,1925.43,Finance,2025-03-19
Movie Theater Into,13.73,Entertainment,2025-02-20
Gift Shop Site,84.73,Others,2024-12-07
Starbucks order 385,88.06,Food & Dining,2025-01-03
Fitbit Subscription Never,32.32,Fitness,2025-01-30
Subway order 832,65.66,Food & Dining,2025-08-29
Clinic Return,198.08,Healthcare,2025-06-03
Disney+ Along,44.27,Entertainment,2025-10-17
Delta Airlines ride from Wolfefurt,592.93,Travel,2025-11-02
Electric Company Notice,125.53,Utilities,2025-08-27
Loan EMI So,628.51,Finance,2025-06-01
Hospital Good,33.83,Healthcare,2025-10-18
Yoga Studio Down,33.85,Fitness,2024-12-30
Gift Shop People,97.88,Others,2025-07-27
Rite Aid Buy,63.92,Healthcare,2025-09-23
Cinema Consider,36.61,Entertainment,2025-03-12
Charity Donation Join,151.57,Others,2025-02-01
Miscellaneous Whose,343.27,Others,2025-06-16
Cafe Nero order 254,44.55,Food & Dining,2025-09-21
Starbucks order 382,78.49,Food & Dining,2025-05-21
Loan EMI Long,960.84,Finance,2025-08-19
Target Drug,343.52,Shopping,2025-03-05
Water Board North,246.97,Utilities,2025-04-20
Gas Co Imagine,174.19,Utilities,2025-10-17
Fitbit Subscription Age,45.45,Fitness,2025-01-09
Gift Shop Protect,297.69,Others,2025-04-09
Gift Shop Exist,237.19,Others,2025-03-12
Lyft ride from New Kelsey,90.65,Travel,2024-12-04
McDonald's order 576,14.9,Food & Dining,2024-12-29
Charity Donation Building,252.53,Others,2025-07-29
Yoga Studio Again,135.4,Fitness,2025-04-02
Delta Airlines ride from New Andrew,115.19,Travel,2025-08-28
Starbucks order 308,6.55,Food & Dining,2025-07-14
Charity Donation Bad,63.33,Others,2025-03-24
Target Long,432.51,Shopping,2025-01-13
Pizza Hut order 833,46.83,Food & Dining,2025-09-15
Fitbit Subscription Project,116.06,Fitness,2025-06-26
Miscellaneous Exactly,313.17,Others,2025-10-23
Planet Fitness Remember,45.95,Fitness,2025-03-13
Clinic Sense,124.46,Healthcare,2025-07-06
Gas Co Enjoy,210.51,Utilities,2025-01-16
Investment Platform Line,662.76,Finance,2025-05-06
Planet Fitness Occur,143.31,Fitness,2025-08-27
Gift Shop Kitchen,375.62,Others,2025-03-10
Clinic This,15.54,Healthcare,2024-11-26
Pizza Hut order 712,55.33,Food & Dining,2025-02-04
Loan EMI Lot,1288.92,Finance,2025-03-14
Walmart Laugh,459.61,Shopping,2025-08-04
Miscellaneous Price,23.73,Others,2025-01-02
Miscellaneous Shake,334.76,Others,2025-04-08
Charity Donation Short,320.05,Others,2025-09-25
Pizza Hut order 642,98.21,Food & Dining,2025-09-18
Hospital Relate,48.36,Healthcare,2025-09-25
Spotify Even,37.36,Entertainment,2025-01-21
Hulu Effort,9.17,Entertainment,2025-07-17
Electric Company Business,273.6,Utilities,2025-06-12
Delta Airlines ride from South Charlestown,855.09,Travel,2025-09-04
Subway order 797,90.32,Food & Dining,2025-09-03
Yoga Studio Capital,109.34,Fitness,2025-05-28
Credit Card Payment Raise,110.83,Finance,2025-08-03
Bank Transfer Ever,762.56,Finance,2025-05-19
Clinic Staff,151.28,Healthcare,2025-11-21
Delta Airlines ride from North Lisa,948.43,Travel,2025-07-03
Movie Theater Level,48.65,Entertainment,2025-10-16
Hulu Crime,34.23,Entertainment,2024-12-10
Gas Co Not,37.17,Utilities,2025-04-09
Lyft ride from Jamesland,11.41,Travel,2025-11-07
Spotify Most,39.1,Entertainment,2025-03-20
Flipkart Spring,479.26,Shopping,2025-07-15
Hulu Growth,49.6,Entertainment,2025-09-20
Netflix Game,26.92,Entertainment,2025-05-25
Fitbit Subscription For,95.38,Fitness,2025-10-01
Charity Donation Member,61.07,Others,2025-06-26
Starbucks order 352,59.0,Food & Dining,2025-05-28
Target Yourself,251.42,Shopping,2024-12-22
Credit Card Payment Thus,436.41,Finance,2024-11-29
Lyft ride from Port Andrestown,504.48,Travel,2025-02-24
Gift Shop Even,409.86,Others,2025-06-19
Gym Membership Everyone,60.48,Fitness,2025-04-23
Charity Donation Reality,195.88,Others,2025-03-09
Phone Bill Risk,82.88,Utilities,2025-01-03
Phone Bill Both,230.71,Utilities,2025-04-29
Miscellaneous Morning,387.94,Others,2025-10-14
Hulu Care,19.4,Entertainment,2025-04-18
Charity Donation Trade,168.79,Others,2025-01-29
Netflix This,16.84,Entertainment,2025-02-01
Movie Theater Employee,46.76,Entertainment,2025-01-11
Lyft ride from South Lisaview,230.94,Travel,2025-09-02
Yoga Studio Effect,147.77,Fitness,2025-07-14
Cafe Nero order 390,11.43,Food & Dining,2024-12-08
Gym Membership Too,110.79,Fitness,2025-05-20
Investment Platform Realize,1768.32,Finance,2025-02-05
Yoga Studio Building,24.21,Fitness,2025-09-21
Etsy South,214.61,Shopping,2025-10-16
CVS Pharmacy One,158.51,Healthcare,2024-12-03
Subway order 950,68.6,Food & Dining,2024-12-31
Miscellaneous Everyone,88.66,Others,2025-09-06
Planet Fitness Purpose,121.24,Fitness,2025-10-18
Gym Membership Many,44.98,Fitness,2025-06-27
Yoga Studio Government,116.65,Fitness,2025-11-13
Gift Shop Include,234.64,Others,2025-05-21
Investment Platform Consumer,1187.92,Finance,2025-03-25
Gift Shop Huge,396.87,Others,2025-09-29
Walgreens Garden,193.44,Healthcare,2025-02-18
Hospital Color,144.85,Healthcare,2025-09-05
Walmart Way,375.81,Shopping,2025-05-11
Subway order 715,41.24,Food & Dining,2025-02-11
Phone Bill Two,106.9,Utilities,2025-02-07
Hulu He,16.21,Entertainment,2025-09-17
Ola ride from Lake Davidmouth,362.76,Travel,2025-05-18
Amazon Old,439.2,Shopping,2025-08-05
Credit Card Payment Member,394.52,Finance,2025-05-05
CVS Pharmacy Against,90.82,Healthcare,2025-08-27
Cinema Dog,22.8,Entertainment,2025-05-10
Taxi Service ride from Johnberg,479.55,Travel,2025-07-29
Investment Platform Near,313.25,Finance,2025-04-24
Etsy Leave,218.05,Shopping,2025-09-15
Target Provide,208.26,Shopping,2025-02-16
Disney+ Road,44.11,Entertainment,2025-07-02
Fitbit Subscription Not,10.86,Fitness,2025-07-13
Electric Company Toward,198.97,Utilities,2025-02-09
Hospital East,90.73,Healthcare,2025-06-02
Rite Aid Bed,133.55,Healthcare,2025-10-09
Etsy Three,388.9,Shopping,2025-09-20
Phone Bill Later,261.96,Utilities,2024-11-25
Amazon Over,42.08,Shopping,2025-03-21
Charity Donation Threat,368.99,Others,2025-07-05
Lyft ride from Vaughnshire,536.21,Travel,2025-08-03
Gym Membership Development,22.72,Fitness,2025-09-30
Taxi Service ride from Mooreburgh,46.42,Travel,2025-04-11
Cafe Nero order 411,41.52,Food & Dining,2025-01-23
Fitbit Subscription Describe,49.93,Fitness,2025-09-22
Amazon Executive,279.87,Shopping,2025-10-08
Lyft ride from Dunlapstad,765.44,Travel,2025-01-04
Yoga Studio Really,99.78,Fitness,2025-03-13
Loan EMI Free,636.26,Finance,2025-04-05
Charity Donation Five,366.72,Others,2025-09-06
Spotify Catch,8.15,Entertainment,2025-04-06
Miscellaneous Sometimes,103.44,Others,2025-07-28
Planet Fitness Part,33.32,Fitness,2024-12-11
Investment Platform Off,429.58,Finance,2025-07-03
Movie Theater Although,30.77,Entertainment,2025-01-01
Starbucks order 198,63.8,Food & Dining,2025-06-04
Charity Donation Choose,301.84,Others,2025-11-16
Movie Theater Its,30.51,Entertainment,2024-12-31
Yoga Studio Hit,40.73,Fitness,2025-07-14
Planet Fitness Scientist,129.75,Fitness,2025-05-12
Investment Platform Discuss,824.99,Finance,2025-06-18
Planet Fitness Military,102.5,Fitness,2025-04-02
Gym Membership Room,118.84,Fitness,2025-08-03
Spotify Family,42.41,Entertainment,2025-10-22
Loan EMI Gas,816.87,Finance,2025-05-16
Walmart Camera,379.85,Shopping,2025-01-09
Charity Donation Quality,15.76,Others,2025-07-14
Walmart Respond,50.3,Shopping,2024-12-12
Bank Transfer Loss,990.36,Finance,2024-12-24
Gym Membership Reality,16.32,Fitness,2025-01-15
Spotify Card,48.89,Entertainment,2025-09-18
CVS Pharmacy Collection,39.26,Healthcare,2025-08-23
Fitbit Subscription Final,63.17,Fitness,2024-12-24
Phone Bill Throw,243.91,Utilities,2025-01-29
Electric Company Less,247.66,Utilities,2025-01-18
Hospital Through,13.46,Healthcare,2025-06-28
Hospital Something,94.27,Healthcare,2025-07-15
Planet Fitness Stay,35.44,Fitness,2025-11-21
Movie Theater Question,32.82,Entertainment,2025-07-29
Fitbit Subscription Nature,87.01,Fitness,2025-09-07
Lyft ride from Johnsonmouth,774.79,Travel,2025-05-25
Gym Membership Need,117.08,Fitness,2024-12-16
Best Buy Too,430.81,Shopping,2025-08-07
Netflix Hospital,19.53,Entertainment,2025-09-15
Miscellaneous Traditional,289.99,Others,2025-04-11
Cafe Nero order 711,45.11,Food & Dining,2025-07-27
Airbnb ride from Port Richardborough,716.62,Travel,2025-02-24
Phone Bill Simple,240.46,Utilities,2025-09-29
Yoga Studio Sport,52.2,Fitness,2025-10-27
Miscellaneous After,453.31,Others,2025-01-24
Lyft ride from Matthewton,198.04,Travel,2025-08-30
Cinema Attorney,47.52,Entertainment,2025-02-04
Walgreens Hear,164.1,Healthcare,2025-11-18
Walgreens Who,114.51,Healthcare,2025-10-09
Ola ride from Aprilville,526.28,Travel,2025-09-30
Bank Transfer Right,155.87,Finance,2025-05-26
Clinic Arrive,128.58,Healthcare,2025-06-28
Gym Membership Also,56.74,Fitness,2025-10-30
Planet Fitness Capital,11.32,Fitness,2025-05-11
Loan EMI Pick,351.45,Finance,2025-10-23
Gift Shop Send,436.37,Others,2025-10-14
Water Board Professor,35.71,Utilities,2025-11-06
Delta Airlines ride from East Sabrinaview,198.44,Travel,2025-08-16
Planet Fitness Employee,127.49,Fitness,2025-05-09
McDonald's order 726,99.4,Food & Dining,2025-01-10
Walmart Position,214.44,Shopping,2025-06-08
Fitbit Subscription Amount,46.57,Fitness,2024-12-24
Clinic Beat,58.76,Healthcare,2025-08-23
CVS Pharmacy Show,181.94,Healthcare,2025-05-25
Delta Airlines ride from Danielsport,621.75,Travel,2025-06-07
Electric Company Soon,55.97,Utilities,2025-03-20
Domino's order 785,25.84,Food & Dining,2025-02-08
Water Board Whether,188.91,Utilities,2024-12-24
Charity Donation Eat,263.77,Others,2025-04-02
Credit Card Payment Nice,1228.39,Finance,2025-09-04
Gift Shop Structure,152.35,Others,2025-08-22
Yoga Studio Drive,67.75,Fitness,2025-11-15
Miscellaneous Everybody,36.04,Others,2025-02-28
Walmart Pretty,289.47,Shopping,2025-04-02
Best Buy Single,25.01,Shopping,2025-09-13
Miscellaneous Foreign,217.79,Others,2025-03-02
Water Board Recently,71.91,Utilities,2025-01-14
Disney+ Next,49.72,Entertainment,2025-02-24
Fitbit Subscription Style,30.89,Fitness,2025-10-10
Domino's order 228,99.35,Food & Dining,2025-05-09
Lyft ride from West Paulaton,152.04,Travel,2024-12-03
Charity Donation Region,473.95,Others,2025-07-19
Bank Transfer Eye,1267.87,Finance,2025-04-09
Charity Donation Check,394.94,Others,2024-11-21
Hulu Stock,29.49,Entertainment,2025-05-03
Electric Company Increase,296.32,Utilities,2025-03-12
Amazon Expect,405.28,Shopping,2025-10-21
Yoga Studio Too,103.49,Fitness,2025-05-20
Gas Co Story,200.75,Utilities,2025-02-15
Walmart World,104.86,Shopping,2025-10-29
Spotify Protect,28.37,Entertainment,2024-12-03
Hulu Thousand,38.07,Entertainment,2025-11-07
Hulu Four,40.64,Entertainment,2025-01-27
Cinema Analysis,26.78,Entertainment,2025-05-06
Water Board Others,193.21,Utilities,2025-04-25
Gift Shop A,459.61,Others,2025-03-28
Planet Fitness Small,63.53,Fitness,2025-03-25
Electric Company Already,132.75,Utilities,2025-02-27
Gym Membership Imagine,78.25,Fitness,2025-05-16
Netflix Factor,23.36,Entertainment,2025-07-28
Miscellaneous Image,21.73,Others,2025-06-16
Gift Shop Special,12.84,Others,2025-07-09
Hospital Action,52.17,Healthcare,2025-01-10
Water Board Especially,92.17,Utilities,2025-02-16
Cafe Nero order 474,45.04,Food & Dining,2024-12-08
Gift Shop Fire,12.2,Others,2025-01-30
Phone Bill Weight,135.06,Utilities,2025-09-07
Charity Donation Order,71.85,Others,2025-06-12
Rite Aid Learn,142.53,Healthcare,2025-03-23
Amazon Need,45.35,Shopping,2025-04-09
Internet Service Fast,179.11,Utilities,2025-05-21
Bank Transfer Me,213.49,Finance,2025-11-19
Phone Bill Might,91.44,Utilities,2025-03-16
Yoga Studio Mrs,147.84,Fitness,2024-11-26
Credit Card Payment Beyond,421.19,Finance,2025-03-22
Loan EMI Around,1427.58,Finance,2025-10-27
Domino's order 599,84.28,Food & Dining,2024-11-30
Netflix Then,44.2,Entertainment,2025-03-12
Airbnb ride from Austinville,954.64,Travel,2025-03-02
Yoga Studio It,15.62,Fitness,2025-02-18
Fitbit Subscription Into,99.73,Fitness,2025-03-10
Subway order 943,94.05,Food & Dining,2025-08-14
Delta Airlines ride from Joshuashire,61.57,Travel,2025-08-06
Best Buy Enjoy,60.46,Shopping,2025-04-28
Ola ride from Lake Michealhaven,309.68,Travel,2025-07-14
Gym Membership Him,78.72,Fitness,2025-08-21
Netflix Face,23.74,Entertainment,2025-06-30
Phone Bill Suggest,128.93,Utilities,2025-07-21
Loan EMI Close,1487.24,Finance,2025-08-28
Amazon Behind,108.37,Shopping,2025-01-26
Starbucks order 119,15.92,Food & Dining,2025-01-27
Fitbit Subscription High,73.48,Fitness,2025-10-15
Delta Airlines ride from Stephenberg,503.35,Travel,2025-04-21
Loan EMI Their,1070.36,Finance,2025-05-30
Yoga Studio Between,34.46,Fitness,2024-11-21
Flipkart Take,302.19,Shopping,2025-07-06
Domino's order 832,3.69,Food & Dining,2025-02-07
Fitbit Subscription Option,107.45,Fitness,2025-06-09
KFC order 552,13.47,Food & Dining,2025-09-03
Water Board Billion,263.96,Utilities,2025-06-12
Airbnb ride from North Larrystad,749.08,Travel,2025-04-19
Gas Co Happy,260.96,Utilities,2025-09-28
Electric Company Bag,57.24,Utilities,2024-12-25
Target It,62.39,Shopping,2025-10-27
Planet Fitness Above,140.89,Fitness,2025-03-07
Phone Bill Visit,250.09,Utilities,2025-03-17
Movie Theater Hope,20.68,Entertainment,2025-06-17
Rite Aid Such,116.55,Healthcare,2024-12-31
Planet Fitness Show,77.24,Fitness,2025-04-06
KFC order 893,69.88,Food & Dining,2025-04-30
Miscellaneous Without,349.71,Others,2025-08-16
Spotify Executive,15.91,Entertainment,2025-09-10
Investment Platform Mrs,127.08,Finance,2025-05-23
